"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,"Attribution setting","Post engagements"
2023-03-08,2026-04-08,"JM | Tiara | ThruPlays | Retainer",not_delivering,376034,video_thruplay_watched_actions,0.4768997,"Using ad set budget",0,179330.5,1068143,674365,2026-01-30,"7-day click or 1-day view",536864
2023-03-08,2026-04-08,"JM | Tiara | ThruPlays | Ah - Ha",completed,1775993,video_thruplay_watched_actions,0.52644935,"Using ad set budget",0,934970.36,5445080,2122869,2026-02-26,"7-day click or 1-day view",2953466
2023-03-08,2026-04-08,"JM | Tiara | Engagement | Ah - Ha",completed,1001483,actions:post_engagement,0.26458287,"Using ad set budget",0,264975.25,2057686,967192,2026-03-31,"7-day click or 1-day view",1001483
2023-03-08,2026-04-08,"JM | Tiara | ThruPlays | Rasahara Suwa Suraksha",completed,1413282,video_thruplay_watched_actions,0.74292487,"Using ad set budget",0,1049962.35,5889102,2004425,2025-12-31,"7-day click or 1-day view",3570621
2023-03-08,2026-04-08,"JM | Tiara | Engagement  | Rasahara Suwa Suraksha",completed,1052878,actions:post_engagement,0.18995272,"Using ad set budget",0,199997.04,1734024,849255,2025-12-31,"7-day click or 1-day view",1052878
2023-03-08,2026-04-08,"JM | Tiara | Engagement | Christmas Recipes",completed,518927,actions:post_engagement,0.48172899,"Using ad set budget",0,249982.18,1918565,777196,2025-12-31,"7-day click or 1-day view",518927
2023-03-08,2026-04-08,"JM | Tiara | ThruPlays | Christmas Recipes",completed,1125276,video_thruplay_watched_actions,0.66650315,"Using ad set budget",0,750000,1995999,802848,2025-12-31,"7-day click or 1-day view",1375805
2023-03-08,2026-04-08,"JM | Tiara | Reach | SLNQA",completed,491684,reach,61.01479812,"Using ad set budget",0,30000,701511,491684,2026-01-31,"7-day click or 1-day view",1107
2023-03-08,2026-04-08,"JM | Tiara | Engagement | SLNQA",completed,15573,actions:post_engagement,1.28427406,"Using ad set budget",0,20000,226227,155170,2026-01-31,"7-day click or 1-day view",15573
2023-03-08,2026-04-08,"JM | Tiara | Aurudu Campaign | R&F TVC Video cuts",active,2192867,reach,104.62535576,"Using ad set budget",0,229429.49,3240078,2192867,2026-04-30,"7-day click or 1-day view",169208
2023-03-08,2026-04-08,"JM | Tiara | Aurudu Campaign | TVC Tamil Video cuts",not_delivering,,,,"Using ad set budget",0,0,0,0,2026-04-30,"7-day click or 1-day view",
2023-03-08,2026-04-08,"JM | Tiara | Aurudu Campaign | TrueViews | TVC Main",active,318799,video_thruplay_watched_actions,0.8159711,"Using ad set budget",0,260130.77,714248,681671,2026-04-30,"7-day click or 1-day view",450588
2023-03-08,2026-04-08,"JM | Tiara | Aurudu Campaign | Reach | Trailer",active,85482,reach,70.02877799,"Using ad set budget",0,5986.2,93282,85482,2026-04-10,"7-day click or 1-day view",2986
