"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1886,actions:offsite_conversion.fb_pixel_view_content,7.9533404,15000,Lifetime,15000,155757,60171,2023-05-12,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"8th May"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,760,actions:post_engagement,13.15789474,10000,Lifetime,10000,72855,38196,2023-05-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,890,actions:post_engagement,11.23595506,10000,Lifetime,10000,56108,26406,2023-05-17,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"week 3"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,799,actions:post_engagement,12.51564456,10000,Lifetime,10000,48615,26005,2023-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"week 4"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,925,actions:post_engagement,10.81081081,10000,Lifetime,10000,57177,27716,2023-05-31,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"week 5"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,2330,actions:offsite_conversion.fb_pixel_view_content,10.72961373,25000,Lifetime,25000,229473,146463,2023-05-11,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1364,actions:offsite_conversion.fb_pixel_view_content,14.6627566,20000,Lifetime,20000,185265,98646,2023-05-11,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,2695,actions:offsite_conversion.fb_pixel_view_content,7.42115028,20000,Lifetime,20000,290270,91073,2023-05-31,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,2540,actions:offsite_conversion.fb_pixel_view_content,7.87401575,20000,Lifetime,20000,313774,100740,2023-05-31,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,2540,actions:offsite_conversion.fb_pixel_view_content,5.90551181,15000,Lifetime,15000,228050,108955,2023-05-31,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
