"Reporting starts","Reporting ends","Ad set name","Ad set delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,Starts,"Attribution setting",Bid,"Bid type","Last significant edit"
2023-03-08,2026-04-08,"New Engagement ad set",completed,1702,actions:post_engagement,8.81316099,15000,Lifetime,15000,66833,45941,2023-03-18,2023-03-17,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,955,actions:offsite_conversion.fb_pixel_view_content,8.37696335,8000,Lifetime,8000,63402,29533,2023-03-19,2023-03-17,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,3911,actions:post_engagement,2.04551266,8000,Lifetime,8000,91677,66156,2023-03-19,2023-03-17,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,1356,actions:offsite_conversion.fb_pixel_view_content,13.27433628,18000,Lifetime,18000,144362,63962,2023-03-23,2023-03-20,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,9922,actions:post_engagement,5.84559565,58000,Lifetime,58000,382401,136223,2023-04-28,2023-03-20,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"26th March",completed,716,actions:offsite_conversion.fb_pixel_view_content,11.17318436,8000,Lifetime,8000,79565,54373,2023-03-26,2023-03-25,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,788,actions:offsite_conversion.fb_pixel_view_content,12.69035533,10000,Lifetime,10000,77751,56560,2023-03-22,2023-03-21,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,1223,actions:offsite_conversion.fb_pixel_view_content,12.26492232,15000,Lifetime,15000,109528,83566,2023-03-23,2023-03-23,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,1069,actions:offsite_conversion.fb_pixel_view_content,11.22544434,12000,Lifetime,12000,92523,42968,2023-03-26,2023-03-23,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,2621,actions:post_engagement,9.53834414,25000,Lifetime,25000,155666,116953,2023-03-30,2023-03-29,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,1st,completed,2198,actions:post_engagement,11.37397634,25000,Lifetime,25000,155887,119495,2023-04-01,2023-04-01,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,1st,completed,2441,actions:post_engagement,12.29004506,30000,Lifetime,30000,243487,172042,2023-04-01,2023-04-01,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,1943,actions:post_engagement,7.72002059,15000,Lifetime,15000,107357,84312,2023-04-03,2023-04-03,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,1729,actions:offsite_conversion.fb_pixel_view_content,11.56737999,20000,Lifetime,20000,231285,143767,2023-04-05,2023-04-03,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Week 2",completed,2080,actions:offsite_conversion.fb_pixel_view_content,9.61538462,20000,Lifetime,20000,241263,130159,2023-04-12,2023-04-09,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Week 3",completed,2269,actions:offsite_conversion.fb_pixel_view_content,8.81445571,20000,Lifetime,20000,277556,161115,2023-04-19,2023-04-16,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Week 4",completed,2069,actions:offsite_conversion.fb_pixel_view_content,9.66650556,20000,Lifetime,20000,236660,127086,2023-04-26,2023-04-23,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,Week1,completed,1029,actions:offsite_conversion.fb_pixel_view_content,14.57725948,15000,Lifetime,15000,177957,117641,2023-04-04,2023-04-03,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Week 2",completed,1127,actions:offsite_conversion.fb_pixel_view_content,13.30967169,15000,Lifetime,15000,154324,100777,2023-04-11,2023-04-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
