"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,"Attribution setting"
2023-03-08,2026-04-08,"Cleaning Consumables Feb 2",not_delivering,942,actions:offsite_conversion.fb_pixel_view_content,7.88440552,"Using ad set budget",0,7427.11,122469,43504,2023-03-15,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Seylan 25th | ABO | Awareness | August 2024",completed,436457,reach,45.82352901,"Using ad set budget",0,20000,445967,436457,2024-08-25,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Peoples F/T & BOC F | Conversion | September | 2024",completed,34,actions:offsite_conversion.fb_pixel_purchase,588.23529412,20000,Lifetime,20000,78008,22363,2024-09-29,"7-day click or 1-day view"
2023-03-08,2026-04-08,"September Engagement Ads | 2024",completed,4987,actions:post_engagement,2.00521356,"Using ad set budget",0,10000,47989,30048,2024-10-10,"7-day click or 1-day view"
2023-03-08,2026-04-08,"February - Bank Promo",completed,145,actions:offsite_conversion.fb_pixel_purchase,489.86641379,"Using ad set budget",0,71030.63,213680,31089,2026-02-25,"7-day click"
2023-03-08,2026-04-08,"April - Glo Tuesday",recently_completed,51,actions:offsite_conversion.fb_pixel_purchase,392.15686275,"Using ad set budget",0,20000,73090,22230,2026-04-07,"7-day click, 1-day view or 1-day engaged view"
2023-03-08,2026-04-08,"Household 1",not_delivering,927,actions:offsite_conversion.fb_pixel_view_content,7.95431499,"Using ad set budget",0,7373.65,103818,51896,2023-03-15,"7-day click or 1-day view"
2023-03-08,2026-04-08,"ComBank Premier Feb",inactive,,,,"Using ad set budget",0,0,0,0,2023-02-28,"7-day click or 1-day view"
2023-03-08,2026-04-08,"ComBank Premium feb",not_delivering,,,,"Using ad set budget",0,0,0,0,2023-02-21,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Online 20% off Feb",not_delivering,,,,"Using ad set budget",0,0,0,0,2023-02-16,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Sampath Fab Feb",inactive,,,,"Using ad set budget",0,0,0,0,2023-03-22,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO 18th",not_delivering,,,,"Using ad set budget",0,0,0,0,2023-02-18,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Standard Chartered Feb",not_delivering,,,,"Using ad set budget",0,0,0,0,2023-02-22,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Web offer 23rd Total Bill",not_delivering,,,,"Using ad set budget",0,0,0,0,2023-02-23,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Weekend Fresh 24th Feb",not_delivering,,,,"Using ad set budget",0,0,0,0,2023-02-26,"7-day click or 1-day view"
2023-03-08,2026-04-08,"NTB AMEX 25th Feb",not_delivering,,,,"Using ad set budget",0,0,0,0,2023-02-25,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO 25th Feb",inactive,,,,"Using ad set budget",0,0,0,0,2023-02-25,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO 25th Feb new",not_delivering,,,,"Using ad set budget",0,0,0,0,2023-02-25,"7-day click or 1-day view"
2023-03-08,2026-04-08,"bread offer feb",not_delivering,,,,"Using ad set budget",0,0,0,0,2023-02-26,"7-day click or 1-day view"
2023-03-08,2026-04-08,"NTB AMEX 25th Feb new",not_delivering,,,,"Using ad set budget",0,0,0,0,2023-02-25,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Weekly Fresh 27th Feb",not_delivering,6,actions:offsite_conversion.fb_pixel_view_content,0,"Using ad set budget",0,0,0,0,2023-03-02,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Bread Feb",inactive,4899,actions:post_engagement,4.20868545,"Using ad set budget",0,20618.35,152557,77993,2023-03-28,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO Online 2nd March",not_delivering,70,actions:offsite_conversion.fb_pixel_view_content,0,"Using ad set budget",0,0,0,0,2023-03-02,"7-day click or 1-day view"
2023-03-08,2026-04-08,"PickMe Food Promo",not_delivering,1365,actions:post_engagement,6.19088645,"Using ad set budget",0,8450.56,67693,39120,2023-03-11,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO Promo 4th March",not_delivering,,,,"Using ad set budget",0,0,0,0,2023-03-04,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Weekend Fresh 3rd March",not_delivering,122,actions:offsite_conversion.fb_pixel_view_content,0,"Using ad set budget",0,0,0,0,2023-03-05,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Weekend Bakes Offer 3rd March",not_delivering,,,,"Using ad set budget",0,0,0,0,2023-03-05,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO Online 9th March",not_delivering,2635,actions:offsite_conversion.fb_pixel_view_content,7.59013283,"Using ad set budget",0,20000,202160,125639,2023-03-09,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Women's Day 2023",not_delivering,67878,actions:post_engagement,0.22098471,"Using ad set budget",0,15000,160390,110083,2023-03-16,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Seylan Bank March",not_delivering,3552,actions:offsite_conversion.fb_pixel_view_content,12.66891892,"Using ad set budget",0,45000,467329,267544,2023-03-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"HNB March",not_delivering,1533,actions:offsite_conversion.fb_pixel_view_content,16.30789302,"Using ad set budget",0,25000,295409,187186,2023-03-24,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO 11th Feb",not_delivering,1766,actions:post_engagement,8.49377123,"Using ad set budget",0,15000,81935,59878,2023-03-11,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Delivery Free March 23",not_delivering,7529,actions:offsite_conversion.fb_pixel_view_content,13.94607518,"Using ad set budget",0,105000,1019939,312427,2023-03-29,"7-day click or 1-day view"
2023-03-08,2026-04-08,"E-com March",not_delivering,2410,actions:offsite_conversion.fb_pixel_view_content,10.37344398,"Using ad set budget",0,25000,334883,160867,2023-03-16,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Com Bank Premium",not_delivering,2634,actions:offsite_conversion.fb_pixel_view_content,17.46393318,"Using ad set budget",0,46000,461460,242405,2023-03-28,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO Online 16th March",not_delivering,2181,actions:offsite_conversion.fb_pixel_view_content,11.46263182,"Using ad set budget",0,25000,194932,120776,2023-03-16,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO 18th March",not_delivering,1702,actions:post_engagement,8.81316099,"Using ad set budget",0,15000,66833,45941,2023-03-18,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Weekend Fresh 17th March",not_delivering,955,actions:offsite_conversion.fb_pixel_view_content,8.37696335,"Using ad set budget",0,8000,63402,29533,2023-03-19,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Buy 3 get 1 Free 17th March",not_delivering,3911,actions:post_engagement,2.04551266,"Using ad set budget",0,8000,91677,66156,2023-03-19,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Fresh Weekly 20th March",not_delivering,1356,actions:offsite_conversion.fb_pixel_view_content,13.27433628,"Using ad set budget",0,18000,144362,63962,2023-03-23,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Avurudu Bonus main KV",not_delivering,9922,actions:post_engagement,5.84559565,"Using ad set budget",0,58000,382401,136223,2023-04-28,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Union Bank March",not_delivering,716,actions:offsite_conversion.fb_pixel_view_content,11.17318436,"Using ad set budget",0,8000,79565,54373,2023-03-26,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Standard Chartered March",not_delivering,788,actions:offsite_conversion.fb_pixel_view_content,12.69035533,"Using ad set budget",0,10000,77751,56560,2023-03-22,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO Online 23rd March",not_delivering,1223,actions:offsite_conversion.fb_pixel_view_content,12.26492232,"Using ad set budget",0,15000,109528,83566,2023-03-23,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Weekend Fresh 24th March",not_delivering,1069,actions:offsite_conversion.fb_pixel_view_content,11.22544434,"Using ad set budget",0,12000,92523,42968,2023-03-26,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO online 30th March",not_delivering,2621,actions:post_engagement,9.53834414,"Using ad set budget",0,25000,155666,116953,2023-03-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"ComBank Premium March SLO",not_delivering,2198,actions:post_engagement,11.37397634,"Using ad set budget",0,25000,155887,119495,2023-04-01,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO Saturday April",not_delivering,2441,actions:post_engagement,12.29004506,"Using ad set budget",0,30000,243487,172042,2023-04-01,"7-day click or 1-day view"
2023-03-08,2026-04-08,"NTB AMEX April",not_delivering,1943,actions:post_engagement,7.72002059,"Using ad set budget",0,15000,107357,84312,2023-04-03,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Delivery Free April 23",not_delivering,8147,actions:offsite_conversion.fb_pixel_view_content,9.81956548,"Using ad set budget",0,80000,986764,359191,2023-04-26,"7-day click or 1-day view"
2023-03-08,2026-04-08,"ComBank Premium April 23",not_delivering,4445,actions:offsite_conversion.fb_pixel_view_content,13.49831271,"Using ad set budget",0,60000,689087,297268,2023-04-25,"7-day click or 1-day view"
